ts_code,trade_date,t_pre_close,t_1_close,diff_pct
000919.SZ,2012-07-12,8.9300,9.0800,0.0165
000919.SZ,2013-07-05,6.9300,7.0800,0.0212
000919.SZ,2014-06-24,12.7300,12.8900,0.0124
000919.SZ,2016-07-15,14.6000,14.7700,0.0115
000919.SZ,2017-07-27,10.4300,10.6000,0.0160
000919.SZ,2018-07-12,7.1800,7.3500,0.0231
000919.SZ,2019-08-15,7.2700,7.4400,0.0228
000919.SZ,2020-08-13,7.1800,7.3500,0.0231
000919.SZ,2021-08-12,6.7000,6.8000,0.0147
000919.SZ,2022-08-11,7.1100,7.2100,0.0139
000919.SZ,2023-07-14,7.6700,7.7700,0.0129
000919.SZ,2024-05-31,6.8400,6.9400,0.0144
000919.SZ,2025-07-08,6.8500,6.9500,0.0144
000920.SZ,2000-05-12,14.3000,14.5500,0.0172
000920.SZ,2001-04-17,19.1600,19.4600,0.0154
000920.SZ,2002-04-16,14.2300,14.6300,0.0273
000920.SZ,2003-03-25,12.6200,13.0400,0.0322
000920.SZ,2003-06-23,11.3600,11.4800,0.0105
000920.SZ,2004-06-08,16.3200,16.5200,0.0121
000920.SZ,2004-11-09,6.9500,13.9000,0.5000
000920.SZ,2020-06-17,6.6600,6.7400,0.0119
000920.SZ,2021-06-17,7.1300,7.2200,0.0125
000920.SZ,2022-07-04,8.7000,8.8000,0.0114
000920.SZ,2023-06-29,9.7600,9.8700,0.0111
000920.SZ,2024-06-19,7.6400,7.7600,0.0155
000920.SZ,2025-06-19,10.2100,10.3600,0.0145
000921.SZ,2000-06-14,18.9500,19.1600,0.0110
000921.SZ,2016-07-06,8.0000,8.1500,0.0184
000921.SZ,2017-07-12,16.8100,17.1100,0.0175
000921.SZ,2018-07-12,9.0800,9.5200,0.0462
000921.SZ,2019-07-12,12.4500,12.7500,0.0235
000921.SZ,2020-07-10,12.4700,12.8600,0.0303
000921.SZ,2021-07-09,13.4500,13.8000,0.0254
000921.SZ,2022-07-12,13.8800,14.0900,0.0149
000921.SZ,2023-07-17,24.0700,24.5900,0.0211
000921.SZ,2024-08-15,25.0900,26.1000,0.0387
000921.SZ,2025-08-15,24.1800,25.4100,0.0484
