ts_code,trade_date,jump_pct,factor_change_pct,type
002022.SZ,2010-05-27,0.1744,0.21118711998648004,因子数值不匹配
002023.SZ,2005-06-01,0.3431,0.5222578274290752,因子数值不匹配
002023.SZ,2008-04-16,0.3753,0.6006594979885501,因子数值不匹配
002023.SZ,2010-05-11,0.2855,0.3996765242423249,因子数值不匹配
002023.SZ,2015-05-08,0.5015,1.0059914459525923,因子数值不匹配
002024.SZ,2005-06-03,0.501,1.003971,因子数值不匹配
002024.SZ,2005-10-17,0.4445,0.800099402636066,因子数值不匹配
002024.SZ,2006-09-21,0.5,1.0,因子数值不匹配
002024.SZ,2007-04-06,0.5,1.0,因子数值不匹配
002024.SZ,2008-09-26,0.5013,1.0053539250873096,因子数值不匹配
002024.SZ,2009-04-10,0.3344,0.5023114377559155,因子数值不匹配
002024.SZ,2010-04-16,0.3353,0.5044606445402037,因子数值不匹配
002025.SZ,2005-04-13,0.1714,0.20678400000000008,因子数值不匹配
002025.SZ,2006-04-07,0.3372,0.5086552357339839,因子数值不匹配
002025.SZ,2008-05-28,0.502,1.0078396327406967,因子数值不匹配
002025.SZ,2015-06-25,0.2344,0.30608551075796947,因子数值不匹配
002026.SZ,2006-06-22,0.3414,0.518389997383677,因子数值不匹配
002026.SZ,2011-04-11,0.2362,0.30930664576465466,因子数值不匹配
002026.SZ,2013-05-13,0.2358,0.30858118308222876,因子数值不匹配
002027.SZ,2005-05-11,0.5076,1.0309949999999999,因子数值不匹配
002027.SZ,2006-04-11,0.2596,0.3505749644878497,因子数值不匹配
002027.SZ,2016-06-30,0.5035,1.0140593676073484,因子数值不匹配
002027.SZ,2017-07-06,0.3071,0.4431457048282522,因子数值不匹配
002027.SZ,2018-06-29,0.1742,0.21093748432166234,因子数值不匹配
002028.SZ,2005-04-28,0.5072,1.0293230000000002,因子数值不匹配
002028.SZ,2007-09-18,0.3361,0.5062755627026903,因子数值不匹配
